Unnamed: 0,date,item_id,quantity,price_base,sum_total,store_id,Year,Month,Day,Lag_1
154518,2023-09-12,37fa8bdec3c6,3.0,37.3,111.9,1.0,2023,9,12,159.8
203684,2023-09-22,c38deb2bb656,1.0,219.9,219.9,1.0,2023,9,22,119.8
95258,2023-08-31,de61244fcc91,4.0,59.9,239.6,1.0,2023,8,31,3661.3
183681,2023-09-18,75d78c595e83,1.0,114.21,114.21,1.0,2023,9,18,823.66
102854,2023-09-01,084e6e43d803,0.306,1799.9,550.77,1.0,2023,9,1,724.5
131042,2023-09-07,6cecfc43bd98,1.0,106.9,106.9,1.0,2023,9,7,355.6
45466,2023-08-20,36821ce2287c,2.0,27.31,54.62,1.0,2023,8,20,118.56
184649,2023-09-18,7d5db378647d,1.0,100.0,100.0,1.0,2023,9,18,808.8
171008,2023-09-15,acf2f31a4a4d,1.0,79.9,79.9,1.0,2023,9,15,349.9
215430,2023-09-25,e9b92813def5,10.778,159.9,1723.41,1.0,2023,9,25,231.27
2103,2023-08-04,3b2970e82aaf,24.421,99.9,2439.65,1.0,2023,8,4,84.9
37748,2023-08-18,5172bf3a01d4,2.0,229.9,459.8,1.0,2023,8,18,634.36
73393,2023-08-26,992a86e5de0c,1.0,94.9,94.9,1.0,2023,8,26,269.7
23358,2023-08-15,438b13f55a03,3.0,67.9,203.7,1.0,2023,8,15,538.0
135884,2023-09-08,438b13f55a03,2.0,69.9,139.8,1.0,2023,9,8,949.5
25420,2023-08-16,eb802b90190e,2.0,169.9,339.8,1.0,2023,8,16,116.9
23147,2023-08-15,7ad849c5c671,8.0,25.69,205.49,1.0,2023,8,15,141.76
158613,2023-09-13,05f7be3f5b3b,1.0,199.9,199.9,1.0,2023,9,13,489.9
64833,2023-08-24,d468a8a6a544,1.0,129.9,129.9,1.0,2023,8,24,188.3
113889,2023-09-03,5ee1252cb557,1.0,99.9,99.9,1.0,2023,9,3,439.6
137334,2023-09-08,c2d3d538f07b,1.0,549.9,549.9,1.0,2023,9,8,314.1
235093,2023-09-29,eab27cebe9d6,15.0,78.93,1183.91,1.0,2023,9,29,472.87
100191,2023-09-01,7072133d38be,3.0,599.0,1797.0,1.0,2023,9,1,319.6
197079,2023-09-21,6dbb43cff46d,1.0,109.9,109.9,1.0,2023,9,21,1806.0
213280,2023-09-24,b80dbdf1b15b,8.0,119.2,953.62,1.0,2023,9,24,82.0
12107,2023-08-08,9f33d338486c,3.0,49.37,148.12,1.0,2023,8,8,464.7
182278,2023-09-18,6b01d5f448ce,1.0,80.0,80.0,1.0,2023,9,18,2150.37
221231,2023-09-26,2d1370da96ac,1.0,194.9,194.9,1.0,2023,9,26,1320.0
17471,2023-08-09,c317b4f561ef,1.0,38.0,38.0,1.0,2023,8,9,398.0
201362,2023-09-22,1013b2b5b66d,1.0,399.0,399.0,1.0,2023,9,22,64.9
225432,2023-09-27,fe5bd7c56dda,1.0,212.0,212.0,1.0,2023,9,27,904.94
114498,2023-09-03,3d86e6829ee5,4.0,59.78,239.13,1.0,2023,9,3,799.5
781,2023-08-04,05f468be3e2f,11.0,85.53,940.79,1.0,2023,8,4,251.27
142526,2023-09-09,59cc6d0fd196,1.0,199.9,199.9,1.0,2023,9,9,159.8
176737,2023-09-16,3dd6b77c8dd3,8.0,49.83,398.61,1.0,2023,9,16,799.8
224791,2023-09-27,7df326b32b8c,1.699,399.9,679.43,1.0,2023,9,27,430.8
174862,2023-09-16,a00d82843647,3.376,177.53,599.35,1.0,2023,9,16,429.3
148034,2023-09-10,cf25e00677a9,3.0,76.08,228.23,1.0,2023,9,10,664.27
217089,2023-09-25,d18a00e52f60,1.168,469.0,547.79,1.0,2023,9,25,149.9
229575,2023-09-28,10bd2c22a434,1.0,549.9,549.9,1.0,2023,9,28,129.9
177643,2023-09-17,3f89e56da9ff,3.0,79.9,239.7,1.0,2023,9,17,197.49
86430,2023-08-29,724163621c34,9.0,58.88,529.92,1.0,2023,8,29,96.0
85629,2023-08-28,8c3a86a453e4,2.0,79.9,159.8,1.0,2023,8,28,339.9
70331,2023-08-25,601226324817,21.0,39.68,833.38,1.0,2023,8,25,135.76
48125,2023-08-21,d63697b73292,1.0,699.9,699.9,1.0,2023,8,21,119.7
130849,2023-09-07,c0426c48f784,16.0,28.99,463.91,1.0,2023,9,7,55.8
63114,2023-08-24,4261cbf1cb13,1.0,171.9,171.9,1.0,2023,8,24,353.41
188827,2023-09-19,a8f07b784ad7,3.0,99.6,298.8,1.0,2023,9,19,77.59
109151,2023-09-02,f5e0ac1e9355,2.0,79.9,159.8,1.0,2023,9,2,64.9
36172,2023-08-18,2686d33dfc85,0.823,881.11,725.15,1.0,2023,8,18,41.9
150736,2023-09-11,d09a11005fa3,0.105,629.9,66.14,1.0,2023,9,11,235.0
30278,2023-08-17,99998e3f3c0a,1.0,69.9,69.9,1.0,2023,8,17,49.9
199869,2023-09-21,9dc6012632f5,13.0,8.71,113.24,1.0,2023,9,21,109.8
232501,2023-09-28,cdb2042cea0a,0.91,314.08,285.81,1.0,2023,9,28,59.9
31287,2023-08-17,72ef569ef56c,7.324,365.17,2674.5,1.0,2023,8,17,95.0
62840,2023-08-24,6a53655fdfe9,2.0,71.69,143.38,1.0,2023,8,24,597.0
135302,2023-09-08,e3a694ee1474,1.0,69.9,69.9,1.0,2023,9,8,15264.19
20082,2023-08-15,a1890526203f,1.0,89.9,89.9,1.0,2023,8,15,227.4
168679,2023-09-15,6e15aa682f99,7.0,104.13,728.9,1.0,2023,9,15,1079.1
212183,2023-09-24,4ab7f62fa879,1.0,108.87,108.87,1.0,2023,9,24,581.76
145068,2023-09-10,7f92db996138,1.0,166.0,166.0,1.0,2023,9,10,89.9
107656,2023-09-02,9171d2537a5a,4.0,27.9,111.6,1.0,2023,9,2,109.0
71959,2023-08-26,745a75a9ffbc,1.0,59.9,59.9,1.0,2023,8,26,699.8
16560,2023-08-09,0ca589a27ca5,15.0,169.9,2548.5,1.0,2023,8,9,69.9
112811,2023-09-03,156617da100e,1.0,229.9,229.9,1.0,2023,9,3,119.9
94538,2023-08-30,a6fe5efb7d05,1.0,89.9,89.9,1.0,2023,8,30,154.46
142652,2023-09-09,e9c03d5aeed9,27.0,98.23,2652.12,1.0,2023,9,9,729.9
163936,2023-09-14,87817d417f36,2.0,180.0,360.0,1.0,2023,9,14,179.8
31248,2023-08-17,de3243dddb43,5.0,59.5,297.5,1.0,2023,8,17,199.8
25981,2023-08-16,7c95a5770e81,3.0,269.9,809.7,1.0,2023,8,16,99.8
35728,2023-08-18,5376ac497021,2.0,37.9,75.8,1.0,2023,8,18,6120.0
37982,2023-08-18,6e483c76cdec,150.0,97.44,14616.72,1.0,2023,8,18,499.9
233196,2023-09-28,3277c6889565,1.0,77.0,77.0,1.0,2023,9,28,239.9
36311,2023-08-18,17591fe99c00,2.0,59.9,119.8,1.0,2023,8,18,299.6
37651,2023-08-18,960bbec819ef,3.0,96.3,288.9,1.0,2023,8,18,298.5
97579,2023-08-31,efa329dec5a9,5.0,267.9,1339.5,1.0,2023,8,31,350.61
25088,2023-08-16,e503cdcfd354,1.0,329.9,329.9,1.0,2023,8,16,438.01
53413,2023-08-22,3296e073ddf3,14.0,38.81,543.37,1.0,2023,8,22,776.82
18798,2023-08-15,9d51beaf2b9d,2.0,53.9,107.8,1.0,2023,8,15,1119.2
87553,2023-08-29,06c24c4915e0,2.0,49.0,98.0,1.0,2023,8,29,449.5
45048,2023-08-20,454451ec13db,1.0,119.9,119.9,1.0,2023,8,20,547.31
